Campo;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5;Fuente6
campovx_03_vector;129;;;;;
campovx_11_fuente;F1811;;;;;
campovx_03_vector;130;;;;;
campovx_11_fuente;Nómina Declaración Jurada de Adquisición de Viviendas Nuevas DFL2;;;;;
campovx_03_vector;132;;;;;
campovx_11_fuente;CVC;F22Sociedad;;;;
campovx_03_vector;136;;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_03_vector;137;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_03_vector;138;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_03_vector;140;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;141;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;145;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;146;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;147;;;;;
campovx_11_fuente;Nómina Presencia Bursátil de Acciones en Bolsa (ACCIONES.DAT);;;;;
campovx_03_vector;148;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;149;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;156;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;157;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;160;;;;;
campovx_11_fuente;Nómina de Gastos de Capacitación SENCE (SENCE.DAT) ó Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_03_vector;161;;;;;
campovx_11_fuente;Nómina Transferencias de Vehículos Nuevos (VEHICULO_NUEVO.DAT);Tabla Valor Moneda;;;;
campovx_03_vector;162;;;;;
campovx_11_fuente;Nómina Transferencias de Vehículos Usados (VEHICULO_USADO.DAT);;;;;
campovx_03_vector;163;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;164;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;165;;;;;
campovx_11_fuente;Nómina de Naves Marítimas (o Artefacto Naval) (TRANSFERENCIA_NAVES.DAT);Tabla de Moneda;Tabla de Cambios;;;
campovx_03_vector;166;;;;;
campovx_11_fuente;Nómina de Inscripción y Transferencias de Aeronaves (TRANSFERENCIA_AERONAVES.DAT);Tabla de Moneda;Tabla de Cambios;;;
campovx_03_vector;168;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;170;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;171;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;172;;;;;
campovx_11_fuente;Nómina de Fiscalización;;;;;
campovx_03_vector;173;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;174;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;175;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;176;;;;;
campovx_11_fuente;Nómina de Renta Efectiva: Contribuyentes Agricultores, Mineros y Transportistas (CAMT.DAT);;;;;
campovx_03_vector;179;;;;;
campovx_11_fuente;Nómina Devolución de PPM por Término de Giro (PPM.DAT);;;;;
campovx_03_vector;180;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;181;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;182;;;;;
campovx_11_fuente;CVC;Nómina Superficie de Explotación Forestal Acogidos al D.L. Nº 701, de 1974 (FORESTAL.DAT);;;;
campovx_03_vector;183;;;;;
campovx_11_fuente;CVC;Nómina SDF;;;;
campovx_03_vector;184;;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_03_vector;186;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;188;;;;;
campovx_11_fuente;Nómina Transferencias de Vehículos Usados (VEHICULO_USADO.DAT);;;;;
campovx_03_vector;189;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;190;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;192;;;;;
campovx_11_fuente;F1896;;;;;
campovx_03_vector;195;;;;;
campovx_11_fuente;F22AT-1;;;;;
campovx_03_vector;197;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;200;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;201;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;203;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;204;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;205;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;207;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;208;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;210;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;211;;;;;
campovx_11_fuente;Nómina Declaracíon Jurada de Renuncia;;;;;
campovx_03_vector;212;;;;;
campovx_11_fuente;DJS Ley 19.840 (55 bis);Avaluaciones;;;;
campovx_03_vector;213;;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_03_vector;214;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;216;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;236;;;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_03_vector;237;;;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_03_vector;238;;;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_03_vector;239;;;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_03_vector;240;;;;;
campovx_11_fuente;F22;CVC;F1894;;;
campovx_03_vector;241;;;;;
campovx_11_fuente;F22;CVC;F1894;;;
campovx_03_vector;242;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;248;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;249;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;251;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_03_vector;252;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;253;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;254;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;256;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;258;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;260;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;262;;;;;
campovx_11_fuente;F1887;;;;;
campovx_03_vector;269;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;270;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;271;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;273;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;274;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;279;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;280;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;281;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;282;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;283;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;284;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;285;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;286;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;287;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;288;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;289;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;290;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;292;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;293;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;294;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;295;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;296;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;297;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;298;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;299;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;300;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;301;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;304;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;308;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;313;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;314;;;;;
campovx_11_fuente;F1811;;;;;
campovx_03_vector;315;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;317;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;318;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;319;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;320;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;326;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;330;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;331;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;334;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;335;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;336;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;337;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;338;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;339;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;340;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;341;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;343;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;344;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;345;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;350;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;351;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;352;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;354;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;355;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;356;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;357;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;358;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;373;;;;;
campovx_11_fuente;F1895;;;;;
campovx_03_vector;381;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;382;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;383;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;384;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_03_vector;385;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_03_vector;386;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_03_vector;387;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_03_vector;393;;;;;
campovx_11_fuente;"Nómina ""Compra de acciones acogidas al artículo 18 TER""";;;;;
campovx_03_vector;395;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;396;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;397;;;;;
campovx_11_fuente;F1898;DJS Ley 19.840 (55 bis);;;;
campovx_03_vector;398;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;399;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;400;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;401;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;405;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;409;;;;;
campovx_11_fuente;F1889;;;;;
campovx_03_vector;412;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;413;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;415;;;;;
campovx_11_fuente;F1896;;;;;
campovx_03_vector;417;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;419;;;;;
campovx_11_fuente;F1929;;;;;
campovx_03_vector;421;;;;;
campovx_11_fuente;F1929;;;;;
campovx_03_vector;423;;;;;
campovx_11_fuente;F1929;;;;;
campovx_03_vector;427;;;;;
campovx_11_fuente;RIAC;;;;;
campovx_03_vector;435;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;436;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;437;;;;;
campovx_11_fuente;Nómina OTEC Querellada;;;;;
campovx_03_vector;438;;;;;
campovx_11_fuente;Nómina OTEC Revocados (OTEC.DAT);;;;;
campovx_03_vector;446;;;;;
campovx_11_fuente;F22;Vector Renta;;;;
campovx_03_vector;447;;;;;
campovx_11_fuente;Nómina Mandato Especial e Irrevocable SENCE (MANDATOS.DAT);;;;;
campovx_03_vector;448;;;;;
campovx_11_fuente;Nómina Mandato Especial e Irrevocable SENCE (MANDATOS.DAT);;;;;
campovx_03_vector;454;;;;;
campovx_11_fuente;F1896;;;;;
campovx_03_vector;455;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;456;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;459;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;460;;;;;
campovx_11_fuente;Nómina OTEC Revocados (OTEC.DAT);;;;;
campovx_03_vector;461;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;463;;;;;
campovx_11_fuente;F22;F1898;;;;
campovx_03_vector;464;;;;;
campovx_11_fuente;Declaración Jurada Simple Beneficiario de Rebaja de Impuesto por Crédito Hipotecario;;;;;
campovx_03_vector;465;;;;;
campovx_11_fuente;F1899;;;;;
campovx_03_vector;468;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;469;;;;;
campovx_11_fuente;F1929;;;;;
campovx_03_vector;474;;;;;
campovx_11_fuente;CVC;Nómina SDF;;;;
campovx_03_vector;476;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;479;;;;;
campovx_11_fuente;F1812;;;;;
campovx_03_vector;480;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;481;;;;;
campovx_11_fuente;F1887;;;;;
campovx_03_vector;485;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;486;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;490;;;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);;;;;
campovx_03_vector;492;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;493;;;;;
campovx_11_fuente;F1835;;;;;
campovx_03_vector;494;;;;;
campovx_11_fuente;F1896;;;;;
campovx_03_vector;497;;;;;
campovx_11_fuente;F1828;;;;;
campovx_03_vector;504;;;;;
campovx_11_fuente;F1822;;;;;
campovx_03_vector;507;;;;;
campovx_11_fuente;F1811;;;;;
campovx_03_vector;508;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;510;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;514;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;517;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;519;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;520;;;;;
campovx_11_fuente;F1832;;;;;
campovx_03_vector;522;;;;;
campovx_11_fuente;Nómina Donaciones a Universidades e Inst. Profesionales, Ley Nº 18.681, de 1987 (DONAUNIV.DAT);Vector Renta;;;;
campovx_03_vector;523;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;524;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;525;;;;;
campovx_11_fuente;Vector RentaAT-1;;;;;
campovx_03_vector;526;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;527;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;528;;;;;
campovx_11_fuente;F1832;;;;;
campovx_03_vector;532;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;534;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;535;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;536;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;537;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;538;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;539;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;542;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;544;;;;;
campovx_11_fuente;Vector RentaAT-2;;;;;
campovx_03_vector;545;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;546;;;;;
campovx_11_fuente;Vector Renta;F22;;;;
campovx_03_vector;547;;;;;
campovx_11_fuente;Vx010546;;;;;
campovx_03_vector;563;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_03_vector;570;;;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);;;;;
campovx_03_vector;572;;;;;
campovx_11_fuente;Nómina Donaciones Para Fines Deportivos (DEPORTIVOS.DAT);Nómina Proyectos Deportivos Aprobados por el SII (PROYAPROBADO.DAT);;;;
campovx_03_vector;581;;;;;
campovx_11_fuente;RCIVIL;;;;;
campovx_03_vector;591;;;;;
campovx_11_fuente;F22AT-1;;;;;
campovx_03_vector;592;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;599;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;605;;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_03_vector;606;;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_03_vector;607;;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_03_vector;608;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;618;;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_03_vector;619;;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_03_vector;620;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;621;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_03_vector;624;;;;;
campovx_11_fuente;Nómina Pescadores Artesanales (PESCA_ARTESANAL.DAT);;;;;
campovx_03_vector;625;;;;;
campovx_11_fuente;F1898;;;;;
campovx_03_vector;626;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_03_vector;627;;;;;
campovx_11_fuente;F1887;;;;;
campovx_03_vector;629;;;;;
campovx_11_fuente;F1887;Vector Renta;;;;
campovx_03_vector;633;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;634;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;635;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;636;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;637;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_03_vector;638;;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_03_vector;644;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;645;;;;;
